decision_date,trade_date,stock_id,stock_name,source,current_status,decision,decision_level,action,candidate_grade,reason,risk_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,confidence_score,total_score,multi_factor_score,final_market_score,liquidity_score,sector_strength_score,event_risk_level,position_size_suggestion,can_auto_trade,requires_manual_review,review_level,review_reason,data_quality_flags,investment_risk_flags,data_quality_note
2026-05-29,2026-05-28,00913,兆豐台灣晶圓製造,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,50.0,85.0,64.52,62.65,75.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；資料可信度偏低；資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,1409,新纖,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲,營收動能正向；流動性佳,融資連增但股價不漲,,動能分數偏強,90.0,85.0,67.04,69.6,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：財報資料不足,財報資料不足,融資連增但股價不漲,財報資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,2881,富邦金,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,,短線相對強勢；營收動能正向；流動性佳,,,5 日相對強勢；動能分數偏強,90.0,84.05,69.03,68.84,92.0,78.0,NONE,0.1,False,True,DATA_REVIEW,資料不足：財報資料不足,財報資料不足,,財報資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,00901,永豐智能車供應鏈,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,產業弱勢,,產業弱勢,,動能分數偏強,50.0,83.31,62.77,60.55,60.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：產業弱勢；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；資料可信度偏低；資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足,產業弱勢,ETF_METADATA_MISSING；ETF metadata 資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,1568,倉佑,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,融資連增但股價不漲,未通過既有風控；注意股,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,66.09,63.57,60.0,78.0,MEDIUM,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,1530,亞崴,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；注意股需人工確認,融資連增但股價不漲；流動性偏低；注意股,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,融資連增但股價不漲；流動性偏低,注意股,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,66.64,64.17,50.0,78.0,MEDIUM,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；流動性偏低；注意股,,融資連增但股價不漲；流動性偏低,基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,1563,巧新,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；注意股需人工確認,融資連增但股價不漲；PE 偏高；注意股,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；PE 偏高,注意股,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,65.09,63.42,75.0,78.0,MEDIUM,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PE 偏高；注意股,,融資連增但股價不漲；PE 偏高,基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料；PE 偏高
2026-05-29,2026-05-28,3311,閎暉,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,短線相對強勢；營收動能正向,融資連增但股價不漲,未通過既有風控,5 日相對強勢；動能分數偏強,90.0,83.19,64.74,65.45,60.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,00927,群益半導體收益,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,50.0,83.13,65.42,62.0,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：未通過既有風控；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足,,ETF_METADATA_MISSING；ETF metadata 資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數；使用快取 / 非當日資料
2026-05-29,2026-05-28,00876,元大全球5G,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,產業弱勢；融資連增但股價不漲；未通過既有風控,,產業弱勢；融資連增但股價不漲,未通過既有風控,動能分數偏強,50.0,82.93,62.06,60.25,60.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：產業弱勢；融資連增但股價不漲；未通過既有風控；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足,產業弱勢；融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數；使用快取 / 非當日資料
