trade_date,stock_id,stock_name,enrichment_status,enrichment_provider,ai_used,source_evidence_count,missing_data_flags,enriched_industry,enriched_industry_source,valuation_context,valuation_risk_level,margin_credit_context,margin_risk_level,sector_context,risk_explanation,opportunity_explanation,data_quality_explanation,manual_review_focus,ai_summary,ai_warning,source_evidence_json
2026-05-25,2353,宏碁,OK,rule_based,False,10,,全市場,candidate,PE=22.39，同業/市場中位數約 26.80，約為 0.84 倍；PB=1.22，殖利率=4.40%,LOW,"5 日融資變化 5,096，5 日股價報酬 18.61%，5 日法人買賣超 -10,586,715；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱,候選分級 B，僅供排序與人工檢查,資料完整度可供輔助判斷,檢查停損、流動性與事件風險,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱；候選分級 B，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""B"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""WATCH_ONLY"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 22.39, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 1.22, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""dividend_yield"", ""field_value"": 4.4, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 5096.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1861313868613139, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 92.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,2352,佳世達,OK,rule_based,False,10,,全市場,candidate,PE=46.37，同業/市場中位數約 26.80，約為 1.73 倍；PB=1.55，殖利率=3.48%,HIGH,"5 日融資變化 259，5 日股價報酬 14.14%，5 日法人買賣超 -1,268,266；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 偏高；估值風險 HIGH,候選分級 B，僅供排序與人工檢查,資料完整度可供輔助判斷,確認估值是否合理,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 偏高；估值風險 HIGH；候選分級 B，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""B"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""WATCH_ONLY"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 46.37, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 1.55, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""dividend_yield"", ""field_value"": 3.48, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 259.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.141434262948207, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 92.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 偏高"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,00935,野村臺灣新科技50,PARTIAL,rule_based,False,7,估值資料不足,全市場,candidate,估值資料不足，無法判斷 PE 是否偏高,UNKNOWN,"5 日融資變化 1,250，5 日股價報酬 12.30%，5 日法人買賣超 -10,565,198；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足；部分資料不足,候選分級 C，僅供排序與人工檢查,資料不足：估值資料不足,確認估值是否合理；補查資料缺口,主要風險標籤：基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足；部分資料不足；候選分級 C，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,資料不足時不做強結論；本說明僅供人工確認,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""C"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""WATCH_ONLY"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 1250.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1230046948356806, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 92.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資連增但股價不漲；融資暴增但法人賣超；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,00901,永豐智能車供應鏈,PARTIAL,rule_based,False,7,估值資料不足,全市場,candidate,估值資料不足，無法判斷 PE 是否偏高,UNKNOWN,"5 日融資變化 10，5 日股價報酬 11.35%，5 日法人買賣超 211,886；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足；部分資料不足,候選分級 C，僅供排序與人工檢查,資料不足：估值資料不足,確認估值是否合理；補查資料缺口,主要風險標籤：基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足；部分資料不足；候選分級 C，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,資料不足時不做強結論；本說明僅供人工確認,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""C"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""WATCH_ONLY"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 10.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1135188377246982, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 60.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,3416,融程電,OK,rule_based,False,10,,全市場,candidate,PE=25.07，同業/市場中位數約 26.80，約為 0.94 倍；PB=4.54，殖利率=2.79%,LOW,"5 日融資變化 -27，5 日股價報酬 13.06%，5 日法人買賣超 -713,721；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,候選分級 B，僅供排序與人工檢查,資料完整度可供輔助判斷,檢查停損、流動性與事件風險,主要風險標籤：相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；候選分級 B，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""B"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""WATCH_ONLY"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 25.07, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 4.54, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""dividend_yield"", ""field_value"": 2.79, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": -27.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1305637982195846, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 92.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,3021,鴻名,OK,rule_based,False,10,,全市場,candidate,PE=32.41，同業/市場中位數約 26.80，約為 1.21 倍；PB=1.14，殖利率=3.19%,MEDIUM,"5 日融資變化 206，5 日股價報酬 21.47%，5 日法人買賣超 -112,772；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱；估值風險 MEDIUM,候選分級 B，僅供排序與人工檢查,資料完整度可供輔助判斷,確認估值是否合理,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱；估值風險 MEDIUM；候選分級 B，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""B"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""WATCH_ONLY"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 32.41, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 1.14, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""dividend_yield"", ""field_value"": 3.19, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 206.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.214705882352941, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 50.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,00988A,主動統一全球創新,PARTIAL,rule_based,False,7,估值資料不足,全市場,candidate,估值資料不足，無法判斷 PE 是否偏高,UNKNOWN,"5 日融資變化 -14,056，5 日股價報酬 14.64%，5 日法人買賣超 -49,725,621；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資使用偏高；缺少產業分類，使用全市場相對強弱；部分資料不足,候選分級 D，僅供排序與人工檢查,資料不足：估值資料不足,確認估值是否合理；補查資料缺口,主要風險標籤：基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資使用偏高；缺少產業分類，使用全市場相對強弱；部分資料不足；候選分級 D，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,資料不足時不做強結論；本說明僅供人工確認,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""D"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""NO_TRADE"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": -14056.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1464174454828659, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 92.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""基本面資料不足；估值資料不足；財報資料不足；相對強勢；產業資料不足；融資使用偏高；缺少產業分類，使用全市場相對強弱"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,2397,友通,OK,rule_based,False,10,,全市場,candidate,PE=26.77，同業/市場中位數約 26.80，約為 1.00 倍；PB=2.20，殖利率=3.95%,LOW,"5 日融資變化 12，5 日股價報酬 8.53%，5 日法人買賣超 150,000；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,候選分級 D，僅供排序與人工檢查,資料完整度可供輔助判斷,檢查停損、流動性與事件風險,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；候選分級 D，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""D"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""NO_TRADE"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 26.77, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 2.2, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""dividend_yield"", ""field_value"": 3.95, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 12.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.0852842809364549, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 60.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,1568,倉佑,OK,rule_based,False,10,,全市場,candidate,PE=21.68，同業/市場中位數約 26.80，約為 0.81 倍；PB=1.62，殖利率=3.44%,LOW,"5 日融資變化 1,363，5 日股價報酬 12.70%，5 日法人買賣超 63,133；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱,候選分級 D，僅供排序與人工檢查,資料完整度可供輔助判斷,檢查停損、流動性與事件風險,主要風險標籤：相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱；候選分級 D，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""D"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""NO_TRADE"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 21.68, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 1.62, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""dividend_yield"", ""field_value"": 3.44, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 1363.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1269841269841269, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 50.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱"", ""confidence"": 0.8, ""warning"": """"}]"
2026-05-25,5484,慧友,OK,rule_based,False,9,,全市場,candidate,PE=120.81，同業/市場中位數約 26.80，約為 4.51 倍；PB=5.79,HIGH,"5 日融資變化 0，5 日股價報酬 18.72%，5 日法人買賣超 -137,032；未見明顯融資/價格背離",LOW,全市場；相對強弱分數 78.0；模式 market_relative_fallback,主要風險標籤：相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 偏高；PB 偏高；PB 過高；估值風險 HIGH,候選分級 D，僅供排序與人工檢查,資料完整度可供輔助判斷,確認估值是否合理,主要風險標籤：相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 偏高；PB 偏高；PB 過高；估值風險 HIGH；候選分級 D，僅供排序與人工檢查。此為紙上交易輔助說明，需人工確認。,,"[{""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""candidate_grade"", ""field_value"": ""D"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""decision"", ""field_value"": ""NO_TRADE"", ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pe_ratio"", ""field_value"": 120.81, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""pb_ratio"", ""field_value"": 5.79, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""margin_change_5d"", ""field_value"": 0.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""price_return_5d"", ""field_value"": 0.1871980676328501, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""liquidity_score"", ""field_value"": 60.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""sector_strength_score"", ""field_value"": 78.0, ""confidence"": 0.8, ""warning"": """"}, {""source_name"": ""candidate"", ""source_type"": ""csv"", ""source_date"": ""2026-05-25"", ""field_name"": ""risk_flags"", ""field_value"": ""相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 偏高；PB 偏高；PB 過高"", ""confidence"": 0.8, ""warning"": """"}]"
