decision_date,trade_date,stock_id,stock_name,source,current_status,decision,decision_level,action,candidate_grade,reason,risk_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,confidence_score,total_score,multi_factor_score,final_market_score,liquidity_score,sector_strength_score,event_risk_level,position_size_suggestion,can_auto_trade,requires_manual_review,review_level,review_reason,data_quality_flags,investment_risk_flags,data_quality_note
2026-06-03,2026-06-03,00962,台新AI優息動能,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,,相對強勢；短線相對強勢；產業 / 相對強弱偏強,,,20 日相對強勢；5 日相對強勢；動能分數偏強,50.0,84.46,64.27,60.97,60.0,68.0,NONE,0.1,False,True,DATA_REVIEW,資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；資料可信度偏低；資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足,,ETF_METADATA_MISSING；ETF metadata 資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-06-03,2026-06-03,00961,FT臺灣永續高息,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,50.0,84.01,64.68,61.86,75.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-06-03,2026-06-03,00918,大華優利高填息30,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,50.0,83.83,65.08,62.56,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；資料可信度偏低；資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-06-03,2026-06-03,00916,國泰全球品牌50,candidate,CANDIDATE,WATCH_ONLY,CAUTION,observe_only,C,觀察名單，資料或風險條件需人工確認；資料可信度偏低；部分資料不足,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,50.0,83.52,63.32,60.22,60.0,68.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數
2026-06-03,2026-06-03,6890,來億-KY,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,67.34,66.0,92.0,78.0,NONE,0.1,False,True,STANDARD_REVIEW,一般人工確認,,,市場事件資料不足，採中性處理
2026-06-03,2026-06-03,1714,和桐,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.72,68.44,67.87,75.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲,,融資連增但股價不漲,市場事件資料不足，採中性處理
2026-06-03,2026-06-03,6272,驊陞,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,流動性偏低；月營收 YoY 明顯衰退；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強,流動性偏低；月營收 YoY 明顯衰退,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,63.18,63.9,50.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：流動性偏低；月營收 YoY 明顯衰退；未通過既有風控,,流動性偏低；月營收 YoY 明顯衰退,市場事件資料不足，採中性處理
2026-06-03,2026-06-03,2390,云辰,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；流動性偏低；PE 為空或負值；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強,融資連增但股價不漲；流動性偏低；PE 為空或負值,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,64.29,62.2,50.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；流動性偏低；PE 為空或負值；未通過既有風控,,融資連增但股價不漲；流動性偏低；PE 為空或負值,市場事件資料不足，採中性處理；PE 為空或負值
2026-06-03,2026-06-03,8104,錸寶,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,未通過既有風控；注意股,20 日相對強勢；5 日相對強勢；動能分數偏強,100.0,82.45,61.27,62.68,92.0,78.0,MEDIUM,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退；未通過既有風控,,融資連增但股價不漲；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,EPS 為負；PE 為空或負值
2026-06-03,2026-06-03,8454,富邦媒,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；PB 偏高；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；PB 偏高,未通過既有風控；注意股,20 日相對強勢；5 日相對強勢；動能分數偏強,100.0,82.45,65.31,64.97,92.0,78.0,MEDIUM,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PB 偏高；未通過既有風控,,融資連增但股價不漲；PB 偏高,PB 偏高
