trade_date,attribution_type,diagnostic_item,stock_id,stock_name,industry,window,position_weight,cash_ratio,strategy_value,benchmark_value,alpha,pnl_after_cost,pnl_contribution_pct,drawdown_contribution,top3_contribution_pct,diagnostic_status,conclusion,data_quality_warning,notes
2026-06-05,stock_selection_alpha,持有股票平均報酬 vs benchmark,,,,20d,,,0.34084288971014287,0.083333,0.25751,,,,,OBSERVATION_ONLY,持有股票近期平均報酬未落後 benchmark。,OBSERVATION_ONLY,使用最新 sector_strength stock_return_20d 作 proxy，不等同完整逐筆持有期間回測；此區只做診斷，不修改策略。
2026-06-05,entry_timing_alpha,進場後 1d 表現,,,,1d,,,,-0.013278,,,,,,DATA_INSUFFICIENT,缺少進場後 1d forward return，不能判斷進場時機。,DATA_INSUFFICIENT,需要逐筆進場後 forward return；此區只做診斷。
2026-06-05,entry_timing_alpha,進場後 5d 表現,,,,5d,,,0.01324749472475966,0.007556,0.005691,,,,,OBSERVATION_ONLY,進場後表現未落後 benchmark。,OBSERVATION_ONLY,缺少逐筆 forward_return_5d，使用最新 sector_strength stock_return_5d 作觀察 proxy。 此區只做診斷，不修改策略。
2026-06-05,entry_timing_alpha,進場後 20d 表現,,,,20d,,,0.2302240505297201,0.083333,0.146891,,,,,OBSERVATION_ONLY,進場後表現未落後 benchmark。,OBSERVATION_ONLY,缺少逐筆 forward_return_20d，使用最新 sector_strength stock_return_20d 作觀察 proxy。 此區只做診斷，不修改策略。
2026-06-05,exit_timing_diagnostic,停損後是否反彈,,,,,,,,,,,,,,DATA_INSUFFICIENT,缺少停損後 forward return，不能正式判斷是否反彈。,DATA_INSUFFICIENT,樣本數=11；現有 CSV 尚無出場後 5 日報酬；此區只做診斷，不修改出場規則。
2026-06-05,exit_timing_diagnostic,停利後是否續漲,,,,,,,,,,,,,,DATA_INSUFFICIENT,缺少停利後 forward return，不能正式判斷是否續漲。,DATA_INSUFFICIENT,樣本數=12；現有 CSV 尚無出場後 5 日報酬；此區只做診斷，不修改出場規則。
2026-06-05,drawdown_contribution,最大回撤股票,00947,台新臺灣IC設計,,,,,,,,,,-0.151029,,OBSERVATION_ONLY,少數股票造成較大回撤，需檢查選股與部位控管。,OBSERVATION_ONLY,以 max_adverse_excursion 或交易報酬 proxy 回撤貢獻；此區只做診斷。
2026-06-05,drawdown_contribution,最大回撤股票,4571,鈞興-KY,,,,,,,,,,-0.142248,,OBSERVATION_ONLY,少數股票造成較大回撤，需檢查選股與部位控管。,OBSERVATION_ONLY,以 max_adverse_excursion 或交易報酬 proxy 回撤貢獻；此區只做診斷。
2026-06-05,drawdown_contribution,最大回撤股票,8213,志超,,,,,,,,,,-0.122451,,OBSERVATION_ONLY,少數股票造成較大回撤，需檢查選股與部位控管。,OBSERVATION_ONLY,以 max_adverse_excursion 或交易報酬 proxy 回撤貢獻；此區只做診斷。
2026-06-05,drawdown_contribution,最大回撤股票,3055,蔚華科,,,,,,,,,,-0.102096,,OBSERVATION_ONLY,少數股票造成較大回撤，需檢查選股與部位控管。,OBSERVATION_ONLY,以 max_adverse_excursion 或交易報酬 proxy 回撤貢獻；此區只做診斷。
